"frequency";"r ngspice/ac.v(out)";"i ngspice/ac.v(out)"
3.1787e+06;-3.73019e-07;-3.40544e-07
3.18603e+06;8.43212e-08;-3.4043e-07
3.19335e+06;-3.58695e-07;7.47251e-07
3.20068e+06;6.54469e-07;-6.54994e-07
3.208e+06;-7.95757e-07;1.50529e-07
3.21533e+06;4.37744e-07;3.21121e-07
3.22265e+06;-7.14297e-08;-2.02122e-07
3.22997e+06;1.70602e-07;4.57934e-08
3.2373e+06;-1.79995e-07;-2.62043e-07
3.24462e+06;-1.56157e-07;3.06148e-07
3.25195e+06;3.15219e-07;3.18278e-10
3.25927e+06;-1.32198e-07;-2.54474e-07
3.2666e+06;-9.45215e-08;1.90866e-07
3.27392e+06;1.89474e-08;-3.58389e-08
3.28124e+06;1.64367e-07;1.22756e-07
3.28857e+06;-1.49179e-07;-4.16484e-07
3.29589e+06;-2.54858e-07;4.96369e-07
3.30322e+06;3.52987e-07;-5.87717e-08
3.31054e+06;-4.62424e-08;-1.84954e-08
3.31786e+06;1.0006e-07;-2.04358e-08
3.32519e+06;-3.89796e-08;-1.64259e-07
3.33251e+06;-1.62829e-07;1.16993e-07
3.33984e+06;2.76836e-07;1.02012e-07
3.34716e+06;-2.864e-07;-4.11697e-07
3.35449e+06;5.72456e-08;7.24874e-07
3.36181e+06;4.06093e-07;-5.62307e-07
3.36913e+06;-2.89192e-07;-2.78795e-08
3.37646e+06;-5.03644e-08;1.29721e-07
3.38378e+06;4.38281e-08;-4.64593e-07
3.39111e+06;-6.38059e-07;8.36153e-07
3.39843e+06;1.03798e-06;-1.94499e-07
3.40575e+06;-3.57187e-07;-4.8715e-07
3.41308e+06;-4.68966e-07;3.21683e-07
3.4204e+06;4.76373e-07;1.36235e-07
3.42773e+06;-1.31173e-07;-1.29015e-08
3.43505e+06;4.42845e-07;-7.28051e-08
3.44238e+06;-5.09797e-07;-8.43158e-07
3.4497e+06;-5.78703e-07;1.26292e-06
3.45702e+06;1.09133e-06;-4.32505e-07
3.46435e+06;-7.11549e-07;-1.01547e-07
3.47167e+06;3.8153e-07;2.66841e-07
3.479e+06;-1.83176e-07;-3.68892e-07
3.48632e+06;-1.2205e-07;7.15916e-07
3.49365e+06;9.37481e-07;-5.83546e-07
3.50097e+06;-1.00271e-06;-2.16339e-07
3.50829e+06;4.67033e-07;4.3335e-07
3.51562e+06;-8.36965e-08;-2.8196e-07
3.52294e+06;-5.72507e-08;-1.53115e-08
3.53027e+06;2.13235e-08;2.3365e-07
3.53759e+06;5.07116e-07;-5.56197e-07
3.54491e+06;-1.55063e-06;-4.59191e-07
3.55224e+06;6.40759e-07;2.1025e-06
3.55956e+06;6.48205e-07;-1.68162e-06
3.56689e+06;-3.90713e-07;9.79605e-07
3.57421e+06;-2.73086e-07;-8.59433e-07
3.58154e+06;7.96715e-07;1.44546e-06
3.58886e+06;1.01343e-07;-1.7884e-06
3.59618e+06;-7.40619e-07;4.28431e-07
3.60351e+06;6.71628e-08;5.21712e-07
